target_context_score,target_organism_score,phage_origin_score,docking_support_score,solubility_no_chaperone_score,E6_5_solubility_aggregation_chaperone_score,curated_no_external_chaperone_required_strength,curated_soluble_expression_strength,global_engineering_residual_score
0.425000,0.750000,0.100000,0.735079,0.525940,0.876566,0.000000,0.000000,0.777921
0.525000,0.400000,0.650000,0.438454,0.540625,0.901041,0.000000,0.000000,0.802906
0.525000,0.400000,0.650000,0.455019,0.549052,0.915086,0.000000,0.000000,0.698040
0.525000,0.400000,0.650000,0.464858,0.510000,0.850000,0.000000,0.000000,0.802068
0.525000,0.400000,0.650000,0.468583,0.519565,0.865942,0.000000,0.000000,0.743744
0.425000,0.750000,0.100000,0.653853,0.582635,0.971059,0.000000,0.000000,0.842551
0.550000,1.000000,0.100000,0.369478,0.537097,0.895161,0.000000,0.000000,0.785365
0.525000,0.400000,0.650000,0.442572,0.527272,0.878787,0.000000,0.000000,0.798086
0.525000,0.400000,0.650000,0.407740,0.564204,0.940340,0.000000,0.000000,0.779337
0.525000,0.400000,0.650000,0.388495,0.589904,0.983173,0.000000,0.000000,0.749935
0.525000,0.400000,0.650000,0.397644,0.568229,0.947048,0.000000,0.000000,0.798380
0.525000,0.400000,0.650000,0.450492,0.515909,0.859848,0.000000,0.000000,0.796249
0.525000,0.400000,0.650000,0.393975,0.572727,0.954545,0.000000,0.000000,0.787744
0.525000,0.400000,0.650000,0.446733,0.538282,0.897136,0.000000,0.000000,0.713357
0.525000,0.400000,0.650000,0.433658,0.536434,0.894057,0.000000,0.000000,0.760338
0.525000,0.400000,0.650000,0.397905,0.583602,0.972670,0.000000,0.000000,0.709720
0.525000,0.400000,0.650000,0.418316,0.540625,0.901041,0.000000,0.000000,0.799550
0.425000,0.750000,0.100000,0.712448,0.507143,0.845239,0.000000,0.000000,0.845807
0.525000,0.400000,0.650000,0.437374,0.521591,0.869319,0.000000,0.000000,0.785838
0.525000,0.400000,0.650000,0.444056,0.508928,0.848214,0.000000,0.000000,0.791767
0.525000,0.400000,0.650000,0.384381,0.579087,0.965145,0.000000,0.000000,0.746244
0.525000,0.400000,0.650000,0.485578,0.495923,0.826539,0.000000,0.000000,0.668441
0.525000,0.400000,0.650000,0.400244,0.561676,0.936126,0.000000,0.000000,0.745441
0.525000,0.400000,0.650000,0.513914,0.436184,0.726973,0.000000,0.000000,0.783203
0.525000,0.400000,0.650000,0.403146,0.549671,0.916118,0.000000,0.000000,0.771266
0.525000,0.400000,0.650000,0.407102,0.537931,0.896552,0.000000,0.000000,0.796933
0.525000,0.400000,0.650000,0.427551,0.524551,0.874252,0.000000,0.000000,0.764761
0.425000,0.750000,0.100000,0.632572,0.574306,0.957176,0.000000,0.000000,0.834484
0.525000,0.400000,0.650000,0.374895,0.575000,0.958333,0.000000,0.000000,0.759459
0.525000,0.400000,0.650000,0.395893,0.569711,0.949519,0.000000,0.000000,0.681180
0.525000,0.400000,0.650000,0.381649,0.553472,0.922453,0.000000,0.000000,0.797007
0.525000,0.400000,0.650000,0.372097,0.563033,0.938389,0.000000,0.000000,0.792679
0.525000,0.400000,0.650000,0.384989,0.552370,0.920617,0.000000,0.000000,0.783532
0.425000,0.750000,0.100000,0.666464,0.555296,0.925494,0.000000,0.000000,0.735343
0.525000,0.400000,0.650000,0.398704,0.531428,0.885714,0.000000,0.000000,0.796995
0.425000,0.750000,0.100000,0.650978,0.559630,0.932717,0.000000,0.000000,0.773263
